CustomerKey,Title,LastName,BirthDate,MaritalStatus,Suffix,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,Region,Age,AccessoriesBuyer,GeographyKey
11075,,Jimenez,5/16/1963,S,,F,"$80,000.00 ",2,0,High School,Professional,1,2,786 Eastgate Ave,,1 (11) 500 555-0165,4/28/2011,5-10 Miles,Pacific,58,1,32
11076,,Anderson,1/10/1963,S,,M,"$80,000.00 ",2,0,High School,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,4/21/2011,5-10 Miles,Pacific,58,1,19
11077,,Ye,3/19/1963,S,,F,"$80,000.00 ",2,0,High School,Professional,0,2,1291 Arguello Blvd.,,1 (11) 500 555-0154,4/15/2011,1-2 Miles,Pacific,58,1,36
11078,,Martin,1/6/1985,S,,F,"$40,000.00 ",0,0,High School,Professional,0,2,1349 Sol St.,,196-555-0114,2/15/2013,1-2 Miles,North America,36,1,49
11079,,Gonzalez,3/7/1970,S,,M,"$160,000.00 ",0,0,Graduate Degree,Management,1,2,4236 Malibu Place,,1 (11) 500 555-0137,3/15/2013,0-1 Miles,Pacific,51,1,34
11080,,Chander,1/13/1965,M,,M,"$170,000.00 ",0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,,1 (11) 500 555-0111,4/10/2011,0-1 Miles,Pacific,56,1,30
11081,,Baker,1/21/1972,M,,F,"$120,000.00 ",2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,,478-555-0117,2/12/2013,2-5 Miles,North America,49,1,311
11082,,Butler,2/1/1972,S,,F,"$130,000.00 ",0,1,Graduate Degree,Management,0,3,6040 Listing Ct,,579-555-0195,1/22/2013,1-2 Miles,North America,49,1,322
11083,,Cox,3/11/1977,M,,F,"$130,000.00 ",0,1,Graduate Degree,Management,1,3,867 La Orinda Place,,561-555-0140,1/6/2013,1-2 Miles,North America,44,1,336
11084,,Phillips,3/12/1963,S,,M,"$80,000.00 ",2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,,863-555-0172,1/4/2013,1-2 Miles,North America,58,1,543
11085,,Johnson,1/16/1963,S,,F,"$60,000.00 ",2,0,High School,Professional,0,2,7926 Stephanie Way,,850-555-0184,12/6/2013,5-10 Miles,North America,58,1,345
11086,,Brown,6/22/1963,M,,M,"$70,000.00 ",2,1,Partial College,Professional,1,0,2939 Wesley Ct.,,539-555-0198,7/2/2013,0-1 Miles,North America,58,1,369
11087,,Liang,4/2/1963,M,,F,"$70,000.00 ",3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,,178-555-0152,2/25/2013,0-1 Miles,North America,58,1,307
11088,,Davis,5/25/1963,M,,M,"$80,000.00 ",2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,,612-555-0141,1/13/2013,2-5 Miles,North America,58,1,359
11089,,Price,8/5/1962,S,,F,"$80,000.00 ",2,1,Bachelors,Management,1,1,2685 Blackburn Ct,,532-555-0117,12/29/2012,2-5 Miles,North America,59,1,337
11090,,Bryant,12/13/1968,S,,M,"$90,000.00 ",2,0,Partial College,Professional,1,1,5781 Sharon Dr.,,853-555-0174,8/7/2011,2-5 Miles,North America,53,1,338
11091,,Perez,10/2/1962,M,,M,"$90,000.00 ",2,0,Partial College,Professional,1,1,6083 San Jose,,559-555-0115,1/29/2013,5-10 Miles,North America,59,1,50
11092,,Diaz,11/2/1972,M,,F,"$90,000.00 ",2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,,1 (11) 500 555-0192,4/8/2011,1-2 Miles,Pacific,49,1,22
11093,,He,9/6/1978,M,,F,"$100,000.00 ",0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,,1 (11) 500 555-0161,4/7/2011,0-1 Miles,Pacific,43,1,19
11094,,Ma,9/29/1967,S,,M,"$70,000.00 ",1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,,1 (11) 500 555-0115,4/7/2013,0-1 Miles,Pacific,54,1,33
11095,,Kumar,2/29/1968,S,,M,"$70,000.00 ",1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,,1 (11) 500 555-0151,4/1/2011,5-10 Miles,Pacific,53,1,13
11096,,Anand,2/7/1968,M,,M,"$60,000.00 ",1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,,1 (11) 500 555-0184,4/11/2011,5-10 Miles,Pacific,53,0,12
11097,,Nara,10/23/1972,M,,M,"$60,000.00 ",1,0,Partial College,Skilled Manual,1,1,719 William Way,,1 (11) 500 555-0112,4/4/2011,5-10 Miles,Pacific,49,1,40
11098,,Rubio,10/29/1966,S,,F,"$60,000.00 ",1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,,1 (11) 500 555-0157,2/11/2013,0-1 Miles,Pacific,55,1,14
11099,,Ross,9/5/1966,M,,M,"$60,000.00 ",1,0,Bachelors,Professional,1,1,4378 Westminster Place,,1 (11) 500 555-0186,4/7/2011,0-1 Miles,Pacific,55,1,13
11100,,Navarro,3/15/1966,S,,F,"$60,000.00 ",1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,,1 (11) 500 555-0123,4/16/2011,5-10 Miles,Pacific,55,1,28
11101,,Sai,11/5/1970,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,,1 (11) 500 555-0174,4/29/2011,0-1 Miles,Pacific,51,1,33
11102,,Nelson,10/19/1970,S,,F,"$80,000.00 ",5,5,Bachelors,Professional,1,4,2196 Coat Ct.,,1 (11) 500 555-0124,7/16/2013,1-2 Miles,Pacific,51,1,18
11103,,Chande,4/12/1981,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,,1 (11) 500 555-0166,4/15/2011,5-10 Miles,Pacific,40,1,3
11104,,Sara,3/8/1975,M,,M,"$70,000.00 ",0,0,Bachelors,Professional,0,1,6127 Lilly Lane,,1 (11) 500 555-0125,5/4/2011,0-1 Miles,Pacific,46,1,23
11105,,Fernandez,6/27/1970,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,0,1,5029 Blue Ridge,,1 (11) 500 555-0162,5/14/2011,5-10 Miles,Pacific,51,1,8
11106,,Liu,3/11/1970,S,,M,"$70,000.00 ",0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,,1 (11) 500 555-0163,5/18/2011,5-10 Miles,Pacific,51,0,40
11107,,Lin,3/4/1976,M,,F,"$90,000.00 ",1,0,Bachelors,Professional,1,1,7530 Eola,,1 (11) 500 555-0121,5/1/2011,5-10 Miles,Pacific,45,1,17
11108,,Alvarez,1/10/1969,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,0,2,9178 Thornhill Place,,1 (11) 500 555-0169,5/3/2011,0-1 Miles,Pacific,52,1,13
11109,,Kapoor,4/30/1980,S,,M,"$70,000.00 ",0,0,Bachelors,Professional,0,2,1984 Glendale Circle,,1 (11) 500 555-0132,5/10/2011,0-1 Miles,Pacific,41,1,38
11110,,Yang,12/4/1967,M,,M,"$60,000.00 ",1,0,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,,1 (11) 500 555-0127,5/1/2011,5-10 Miles,Pacific,54,1,3
11111,,Gutierrez,8/23/1967,M,,F,"$60,000.00 ",1,0,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,,1 (11) 500 555-0179,5/20/2011,0-1 Miles,Pacific,54,1,34
11112,,Wang,3/8/1968,M,,F,"$60,000.00 ",1,0,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,,1 (11) 500 555-0134,5/25/2011,0-1 Miles,Pacific,53,1,25
11113,,Blanco,2/17/1973,M,,M,"$70,000.00 ",5,4,Bachelors,Professional,1,2,596 Marfargoa Drive,,1 (11) 500 555-0131,2/1/2013,5-10 Miles,Pacific,48,1,30
11114,,Moreno,11/25/1967,S,,F,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,2,7941 Cristobal,,1 (11) 500 555-0115,3/18/2013,5-10 Miles,Pacific,54,1,14
11115,,Cai,8/12/1967,M,,M,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,,1 (11) 500 555-0191,2/10/2013,0-1 Miles,Pacific,54,1,17
11116,,Carlson,4/2/1979,M,,M,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,,1 (11) 500 555-0184,3/15/2013,5-10 Miles,Pacific,42,1,18
11117,,Deng,8/21/1966,M,,F,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,3,485 Ash Lane,,1 (11) 500 555-0182,5/6/2011,10+ Miles,Pacific,55,1,8
11118,,Zeng,12/31/1962,S,,M,"$80,000.00 ",1,0,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174,7/10/2013,0-1 Miles,Pacific,58,1,6
11119,,James,10/7/1940,S,,M,"$30,000.00 ",2,0,Partial College,Clerical,0,2,4157 Sierra Ridge,,1 (11) 500 555-0187,2/3/2013,0-1 Miles,Pacific,81,1,13
11120,,Jiménez,2/6/1942,S,,F,"$40,000.00 ",2,0,Bachelors,Management,1,1,7401 Las Palmas,,1 (11) 500 555-0164,5/14/2011,5-10 Miles,Pacific,79,1,18
11121,,Suarez,5/18/1966,M,,M,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,3,7743 Hames Dr,,1 (11) 500 555-0198,6/24/2013,10+ Miles,Pacific,55,1,10
11122,,Vazquez,9/30/1965,M,,M,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,,1 (11) 500 555-0136,2/21/2013,5-10 Miles,Pacific,56,1,12
11123,,Alvarez,12/18/1965,M,,M,"$70,000.00 ",5,4,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,,1 (11) 500 555-0191,4/17/2013,10+ Miles,Pacific,56,1,39
11124,,Jordan,7/23/1968,S,,M,"$80,000.00 ",1,0,Partial College,Skilled Manual,1,1,6973 Dublin Court,,1 (11) 500 555-0126,5/5/2011,5-10 Miles,Pacific,53,1,40
11125,,Navarro,10/6/1961,S,,F,"$70,000.00 ",1,0,Partial College,Skilled Manual,1,1,8481 Zartop Street,,1 (11) 500 555-0172,1/31/2013,5-10 Miles,Pacific,60,1,37
11126,,Carson,10/5/1954,M,,M,"$10,000.00 ",2,1,High School,Skilled Manual,0,2,57 Wolf Way,,1 (11) 500 555-0155,5/28/2011,0-1 Miles,Pacific,67,1,11
11127,,Edwards,4/19/1981,M,,F,"$40,000.00 ",0,0,High School,Skilled Manual,1,1,9409 The Alameda,,111-555-0118,4/10/2013,5-10 Miles,North America,40,1,361
11128,,Long,6/3/1981,M,,F,"$40,000.00 ",0,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,,175-555-0139,6/19/2013,5-10 Miles,North America,40,1,635
11129,,Wright,2/1/1981,S,,F,"$40,000.00 ",0,0,High School,Skilled Manual,1,1,7397 Central Blvd.,,456-555-0174,8/6/2011,5-10 Miles,North America,40,0,638
11130,,Russell,7/5/1985,M,,F,"$30,000.00 ",0,0,High School,Skilled Manual,1,2,3884 Bates Court,,424-555-0137,12/9/2013,5-10 Miles,North America,36,1,543
11131,,Rivera,9/9/1985,M,,F,"$30,000.00 ",0,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,,918-555-0126,10/18/2013,0-1 Miles,North America,36,1,50
11132,,Richardson,4/25/1986,S,,F,"$30,000.00 ",0,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,,928-555-0118,4/9/2013,5-10 Miles,North America,35,1,51
11133,,Griffin,3/8/1986,S,,F,"$30,000.00 ",0,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,,598-555-0174,12/30/2013,0-1 Miles,North America,35,1,542
11134,,Townsend,2/22/1957,S,,M,"$10,000.00 ",5,0,High School,Skilled Manual,1,2,7034 Carson,,1 (11) 500 555-0130,5/3/2011,5-10 Miles,Pacific,64,0,30
11135,,Harris,5/2/1985,S,,M,"$30,000.00 ",0,0,Partial High School,Clerical,0,2,9068 Quiet Place Drive,,442-555-0119,4/18/2013,5-10 Miles,North America,36,1,302
11136,,Morgan,4/24/1984,S,,F,"$40,000.00 ",0,0,High School,Skilled Manual,0,2,9005 Eagle Ct.,,954-555-0117,1/3/2013,0-1 Miles,North America,37,1,53
11137,,Taylor,1/17/1984,M,,F,"$40,000.00 ",0,0,High School,Skilled Manual,1,2,2457 Matterhorn Court,,557-555-0146,7/31/2013,5-10 Miles,North America,37,1,641
11138,,Davis,3/14/1984,M,,F,"$40,000.00 ",0,0,High School,Skilled Manual,0,2,8105 Pembrook Court,,832-555-0121,9/19/2013,0-1 Miles,North America,37,1,325
